,rank,name,year,rating,metascore,votes,revenue,genre,runtime,directors,actors,description
4677,78,Mediterraneo,1991,7.4,,12398,4532791.0,"Comedy, Drama, War",96.0,Gabriele Salvatores,"Diego Abatantuono, Claudio Bigagli, Giuseppe Cederna, Claudio Bisio","In WW2, an Italian Army unit of misfits occupies an isolated non-strategic Greek island for the duration of the war."
4678,79,Tacones lejanos,1991,7.1,51.0,12073,1710057.0,"Comedy, Drama, Romance",112.0,Pedro Almodóvar,"Victoria Abril, Marisa Paredes, Miguel Bosé, Anna Lizaran",A girl's mother returns after 15 years to find her daughter has married one of her (the mother's) old boyfriends. They try to mend their broken mother/daughter relationship and deal with ...                See full summary »
4679,80,Lik wong,1991,7.1,,11388,,"Action, Comedy, Thriller",91.0,Ngai Choi Lam,"Siu-Wong Fan, Mei Sheng Fan, Ka-Kui Ho, Yukari Ôshima",A young man with superhuman strength is incarcerated at a prison run by corrupt officials and seeks to use his martial arts to clean up the system.
4680,81,Not Without My Daughter,1991,6.3,,11212,14789113.0,"Drama, Thriller",116.0,Brian Gilbert,"Sally Field, Alfred Molina, Sheila Rosenthal, Roshan Seth","An American woman, trapped in Islamic Iran by her brutish husband, must find a way to escape with her daughter as well."
4681,82,Dutch,1991,6.4,,10680,4603929.0,"Comedy, Drama",107.0,Peter Faiman,"Ed O'Neill, Ethan Embry, JoBeth Williams, Christopher McDonald","To get to know his girlfriend's son, a working-class good guy volunteers to pick him up from a prep school, only to learn that her son isn't the nicest kid."
4682,83,Les amants du Pont-Neuf,1991,7.6,,10674,117569.0,"Drama, Romance",125.0,Leos Carax,"Juliette Binoche, Denis Lavant, Daniel Buain, Klaus-Michael Grüber","Alex, who's homeless and addicted to alcohol, and Michèle, who's losing her sight, form a relationship while sleeping rough on Paris's Pont-Neuf bridge."
4683,84,Billy Bathgate,1991,5.9,,10636,15965919.0,"Crime, Drama, Thriller",106.0,Robert Benton,"Dustin Hoffman, Nicole Kidman, Loren Dean, Bruce Willis","In the year 1935, a teen named Billy Bathgate finds first love while becoming the protégé of fledgling gangster Dutch Schultz."
4684,85,Critters 3,1991,4.3,,9839,,"Comedy, Horror, Sci-Fi",86.0,Kristine Peterson,"John Calvin, Aimee Brooks, Christian Cousins, Joseph Cousins",The tiny fur ball aliens that will eat anything or anyone set their sights on a Los Angeles apartment tower.
4685,86,Ernest Scared Stupid,1991,5.8,38.0,9816,14143280.0,"Comedy, Family, Fantasy",91.0,John R. Cherry III,"Jim Varney, Eartha Kitt, Austin Nagler, Shay Astar","Ernest accidentally unleashes an ugly troll that plots to transform children into wooden dolls in the town of Briarville, Missouri."
4686,87,Necessary Roughness,1991,6.1,,9379,26255594.0,"Comedy, Sport",108.0,Stan Dragoti,"Scott Bakula, Hector Elizondo, Robert Loggia, Harley Jane Kozak","Due to NCAA sanctions, the Texas State University Fightin' Armadillos must form a football team from their actual student body, with no scholarships to help, to play their football schedule...                See full summary »"
4687,88,Only the Lonely,1991,6.4,,9146,21830957.0,"Comedy, Romance",104.0,Chris Columbus,"John Candy, Maureen O'Hara, Ally Sheedy, Kevin Dunn",A Chicago cop must balance loyalty to his overbearing mother and a relationship with a shy funeral home worker.
4688,89,Johnny Stecchino,1991,7.2,,9060,574392.0,"Comedy, Crime, Romance",102.0,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi, Paolo Bonacelli, Franco Volpi","A kindhearted but bumbling idiot who likes to steal bananas, is passed off for a snitch hiding from the mob."
